Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),year,quarter,month,day,hour,minute,weekdays,Engagement Ratio,CTR,Reactions Ratio,Comments Ratio,Shares Ratio,Likes Ratio,Average Engagement Rate,Organic Impression Share,Post Length,Interaction Diversity,sum_of_reactions_comments_shares_per_engagement,Engagements_Class
2018-01-29 10:00:00,6363666880795865088,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6363666880665833472,motivationmonday wherever find complaining grumbling wont good risking go beyond norm motivated quote,6.0,6.0,516.67,31.0,30.0,30.0,0.0,1.0,0.0,0.0,0.0,2018,1,1,29,10,0,0,5.166666666666667,0.0,0.967741935483871,0.0,0.03225806451612903,0.967741935483871,50.445514845230576,8.747019999623878e-07,101,1.0,1.0,-1
2018-01-29 12:12:00,6363700043815403520,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6363700044163543040,members stanbic ibtc asset managements executive committee dr mansur ibrahim founder ahlulbaiti sahaba foundation nigeria recently held imaan fund cheque presentation foundation,10.0,10.0,600.0,60.0,57.0,57.0,0.0,1.0,20.0,2.0,2.0,2018,1,1,29,12,12,0,6.0,2.0,0.95,0.0,0.016666666666666666,0.95,50.445514845230576,1.4578366666039797e-06,177,0.9666666666666667,0.9666666666666667,1
2018-01-30 10:00:00,6364029228677234688,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364029228601737217,termoftheday permalink web address permanently links specific web page forum blog entry,3.0,3.0,833.33,25.0,24.0,24.0,0.0,1.0,0.0,0.0,0.0,2018,1,1,30,10,0,1,8.333333333333334,0.0,0.96,0.0,0.04,0.96,50.445514845230576,4.373509999811939e-07,87,1.0,1.0,-1
2018-01-30 14:00:00,6364089677770747904,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364089677640724481,jambtip planning study time sticking might one best things prepare,3.0,3.0,700.0,21.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,2018,1,1,30,14,0,1,7.0,0.0,0.9523809523809523,0.0,0.047619047619047616,0.9523809523809523,50.445514845230576,4.373509999811939e-07,66,1.0,1.0,-1
2018-01-31 15:30:00,6364474716366925824,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364474716232699904,wealthwednesday know love freedom comes selfservice pleased let know option comes pension account registered number text following commands,5.0,5.0,280.0,14.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,2018,1,1,31,15,30,2,2.8,0.0,0.9285714285714286,0.0,0.07142857142857142,0.9285714285714286,50.445514845230576,7.289183333019898e-07,139,1.0,1.0,-1
2018-01-31 15:51:00,6364479940125093888,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364479940007649280,wealthwednesday know love freedom comes selfservice pleased let know option comes pension account registered number text following commands,5.0,5.0,360.0,18.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,2018,1,1,31,15,51,2,3.6,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,50.445514845230576,7.289183333019898e-07,139,1.0,1.0,-1
2018-01-31 16:00:00,6364482305637048320,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364482305532190720,wealthwednesday know love freedom comes selfservice pleased let know option comes pension account registered number text following commands,6.0,6.0,266.67,16.0,14.0,14.0,0.0,1.0,16.67,1.0,1.0,2018,1,1,31,16,0,2,2.6666666666666665,2.7783333333333338,0.875,0.0,0.0625,0.875,50.445514845230576,8.747019999623878e-07,139,0.9375,0.9375,-1
2018-02-01 09:00:00,6364738902133137408,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364738901805985792,moneysafe pin eyes protect preying eyes use atm,3.0,3.0,600.0,18.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,2018,1,2,1,9,0,3,6.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,50.445514845230576,4.373509999811939e-07,47,1.0,1.0,-1
2018-02-01 14:00:00,6364814449311834112,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6364814449206968320,jambtip helped prepare well jamb back day,3.0,3.0,900.0,27.0,17.0,17.0,9.0,1.0,0.0,0.0,0.0,2018,1,2,1,14,0,3,9.0,0.0,0.6296296296296297,0.3333333333333333,0.037037037037037035,0.6296296296296297,50.445514845230576,4.373509999811939e-07,41,1.0,1.0,-1
2018-02-02 09:00:00,6365101324534632448,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6365101324450754560,imagine life need fingertips yes thats appyness experience today downloading httponelinktohzmcut,5.0,5.0,480.0,24.0,21.0,21.0,2.0,1.0,0.0,0.0,0.0,2018,1,2,2,9,0,4,4.8,0.0,0.875,0.08333333333333333,0.041666666666666664,0.875,50.445514845230576,7.289183333019898e-07,96,1.0,1.0,-1
