iter	RMSE
0	147.1257241
1	128.3248985
2	111.7574885
3	97.52074363
4	86.56866932
5	76.10304104
6	66.68664992
7	60.49733252
8	54.72931697
9	49.51283463
10	45.47141805
11	42.97622808
12	40.07982214
13	38.60852065
14	36.25558601
15	34.18051453
16	33.05770367
17	32.04583342
18	30.3871766
19	28.88939743
20	27.92007173
21	27.15202235
22	25.15082359
23	24.13604908
24	23.54715002
25	22.93626064
26	22.41766769
27	21.79050435
28	20.54793857
29	20.02520957
30	19.33843918
31	18.75135001
32	17.42594938
33	17.00165863
34	16.55552816
35	15.44623886
36	14.95327712
37	14.68010913
38	14.43627595
39	13.66750877
40	13.43992356
41	12.72385112
42	12.43015635
43	12.23829373
44	12.03197492
45	11.79881584
46	11.62093309
47	11.07814503
48	10.93614025
49	10.80856964
50	10.67386271
51	10.57804467
52	10.15018057
53	10.05152623
54	9.956478985
55	9.572287211
56	9.500050879
57	9.23499284
58	9.178438596
59	9.11342864
60	9.065636091
61	8.807295962
62	8.526201818
63	8.456828573
64	8.284337467
65	8.225176123
66	8.12940107
67	8.042647689
68	7.972380179
69	7.943553037
70	7.840298685
71	7.806564028
72	7.736041306
73	7.654375173
74	7.569191762
75	7.402582084
76	7.322476308
77	7.237619864
78	7.15731246
79	7.024835981
80	6.998723627
81	6.860925678
82	6.75110685
83	6.649942805
84	6.603190846
85	6.471826103
86	6.397568366
87	6.278053077
88	6.172942991
89	6.029453655
90	5.966575169
91	5.875637206
92	5.799584872
93	5.744796169
94	5.664349825
95	5.611236429
96	5.501994124
97	5.449790459
98	5.32112071
99	5.210004275
100	5.105477227
101	5.005668975
102	4.906904726
103	4.835046159
104	4.754799399
105	4.669787462
106	4.594356257
107	4.522578762
108	4.454330416
109	4.382286464
110	4.2999898
111	4.256139074
112	4.18140676
113	4.098237336
114	4.032915896
115	3.966861851
116	3.922687224
117	3.892225485
118	3.80860362
119	3.756272992
120	3.701139103
121	3.651343075
122	3.599884061
123	3.558103918
124	3.517364894
125	3.461236531
126	3.415385861
127	3.349342013
128	3.31244919
129	3.25117359
130	3.220657575
131	3.168994614
132	3.142128017
133	3.107937145
134	3.087488849
135	3.042143775
136	2.996608575
137	2.952740048
138	2.916841109
139	2.889318285
140	2.862824818
141	2.833298329
142	2.804926535
143	2.783826935
144	2.733841217
145	2.699918876
146	2.668189713
147	2.63706935
148	2.621014082
149	2.597956835
150	2.56588918
151	2.532068144
152	2.499530931
153	2.474696828
154	2.455380655
155	2.438797458
156	2.414568512
157	2.385362341
158	2.361986891
159	2.336563287
160	2.311944385
161	2.282046381
162	2.263999585
163	2.24620309
164	2.227476042
165	2.212131454
166	2.194858691
167	2.167815176
168	2.151612665
169	2.127960883
170	2.108249188
171	2.090679951
172	2.084552154
173	2.070928475
174	2.065747202
175	2.042938211
176	2.016487433
177	1.99553391
178	1.982231966
179	1.968317757
180	1.946503887
181	1.929559707
182	1.911571149
183	1.898751554
184	1.880793448
185	1.854888663
186	1.843213702
187	1.829835561
188	1.812226017
189	1.792701474
190	1.782378056
191	1.771102545
192	1.753457307
193	1.743849428
194	1.72960865
195	1.727102332
196	1.714700167
197	1.702426448
198	1.694678527
199	1.68045628
