iter	Passed	Remaining
0	35	6995
1	49	4915
2	67	4448
3	77	3788
4	90	3517
5	106	3443
6	129	3575
7	168	4048
8	188	3990
9	204	3880
10	220	3795
11	237	3725
12	259	3730
13	276	3669
14	286	3539
15	302	3476
16	315	3399
17	331	3351
18	346	3301
19	366	3297
20	380	3240
21	392	3174
22	402	3094
23	411	3018
24	418	2930
25	428	2870
26	443	2840
27	463	2849
28	479	2828
29	494	2801
30	513	2800
31	530	2785
32	544	2756
33	557	2723
34	570	2688
35	582	2652
36	596	2627
37	614	2619
38	632	2610
39	649	2596
40	663	2571
41	675	2542
42	689	2517
43	704	2498
44	717	2470
45	731	2449
46	746	2430
47	763	2417
48	774	2387
49	786	2358
50	793	2319
51	803	2287
52	810	2248
53	818	2212
54	824	2174
55	831	2139
56	837	2101
57	844	2066
58	852	2037
59	863	2014
60	873	1991
61	884	1969
62	894	1945
63	903	1920
64	913	1897
65	924	1876
66	932	1850
67	941	1828
68	951	1806
69	960	1784
70	970	1763
71	980	1742
72	989	1722
73	998	1700
74	1009	1682
75	1018	1662
76	1029	1643
77	1037	1622
78	1045	1601
79	1054	1582
80	1063	1562
81	1073	1544
82	1083	1527
83	1093	1509
84	1103	1492
85	1113	1476
86	1122	1458
87	1131	1439
88	1139	1421
89	1148	1404
90	1158	1387
91	1167	1370
92	1176	1353
93	1187	1338
94	1195	1321
95	1204	1305
96	1214	1290
97	1225	1275
98	1235	1260
99	1246	1246
100	1257	1232
101	1267	1217
102	1277	1202
103	1283	1185
104	1290	1167
105	1296	1150
106	1304	1133
107	1311	1116
108	1319	1101
109	1325	1084
110	1333	1069
111	1344	1056
112	1355	1043
113	1361	1026
114	1369	1012
115	1376	996
116	1386	983
117	1395	969
118	1406	957
119	1417	945
120	1427	931
121	1435	917
122	1444	904
123	1456	892
124	1468	880
125	1477	867
126	1487	854
127	1500	844
128	1512	832
129	1522	819
130	1532	807
131	1544	795
132	1555	783
133	1565	771
134	1577	759
135	1590	748
136	1598	735
137	1607	722
138	1617	710
139	1631	699
140	1645	688
141	1658	677
142	1670	665
143	1684	654
144	1694	642
145	1705	630
146	1714	618
147	1727	607
148	1737	594
149	1745	581
150	1755	569
151	1766	557
152	1775	545
153	1785	533
154	1794	520
155	1803	508
156	1810	495
157	1818	483
158	1826	471
159	1833	458
160	1840	445
161	1847	433
162	1857	421
163	1871	410
164	1885	399
165	1895	388
166	1905	376
167	1916	365
168	1928	353
169	1939	342
170	1950	330
171	1961	319
172	1969	307
173	1980	295
174	1991	284
175	2002	273
176	2011	261
177	2024	250
178	2033	238
179	2042	226
180	2053	215
181	2068	204
182	2082	193
183	2094	182
184	2107	170
185	2119	159
186	2133	148
187	2146	136
188	2160	125
189	2176	114
190	2211	104
191	2224	92
192	2243	81
193	2267	70
194	2284	58
195	2299	46
196	2323	35
197	2356	23
198	2377	11
199	2395	0
