iter	RMSE
0	281.2046776
1	237.6268494
2	204.0113913
3	174.1464096
4	149.731095
5	130.8680293
6	115.6646143
7	102.0601016
8	91.23607363
9	82.09007281
10	74.13774054
11	68.23737273
12	62.7562368
13	58.43239751
14	54.11891002
15	51.28026084
16	48.26514067
17	45.86774282
18	43.65225701
19	41.4733371
20	40.23888541
21	38.70653417
22	37.14732202
23	36.07329752
24	35.29333692
25	34.52757499
26	33.45462985
27	32.76055397
28	32.09335575
29	31.57350346
30	30.92640005
31	30.42853793
32	30.10400928
33	29.82050665
34	29.21902851
35	28.76099783
36	28.26255585
37	27.70858484
38	27.42313208
39	27.05752864
40	26.89549321
41	26.48869144
42	26.28290667
43	25.86881711
44	25.20877761
45	24.58996336
46	24.48771677
47	23.88947947
48	23.65379854
49	23.04963458
50	22.51014625
51	22.44604848
52	22.39510729
53	21.96404615
54	21.61858528
55	21.33643052
56	21.25008198
57	20.81061316
58	20.53091653
59	20.3718131
60	20.32181278
61	19.9472502
62	19.77712329
63	19.73279001
64	19.37663429
65	19.02515647
66	18.81547071
67	18.70026228
68	18.41515245
69	18.3427448
70	18.19331903
71	17.95950456
72	17.92372182
73	17.85168833
74	17.55321429
75	17.25320625
76	17.20012886
77	16.950675
78	16.85613706
79	16.66434286
80	16.43800281
81	16.19358103
82	16.02465313
83	15.98447168
84	15.83096534
85	15.62474475
86	15.49918492
87	15.32456363
88	15.29748259
89	15.10613669
90	15.07950965
91	15.04937157
92	14.89749892
93	14.73186416
94	14.55771224
95	14.47256875
96	14.35040926
97	14.18769137
98	14.08624943
99	13.8812941
100	13.75019775
101	13.7218929
102	13.5623849
103	13.43057748
104	13.39664073
105	13.25103494
106	13.16350429
107	12.9916438
108	12.87805481
109	12.73693331
110	12.63865297
111	12.53314322
112	12.50466151
113	12.36167743
114	12.27721457
115	12.23977475
116	12.11989468
117	11.99089292
118	11.90299744
119	11.79590142
120	11.71135368
121	11.60208065
122	11.52882258
123	11.41454007
124	11.32413843
125	11.22342061
126	11.14640385
127	11.09229491
128	11.013186
129	10.8902443
130	10.86645117
131	10.73691501
132	10.66969333
133	10.65783188
134	10.59492098
135	10.49062716
136	10.4123603
137	10.39334314
138	10.31053995
139	10.30189002
140	10.22109549
141	10.11972772
142	10.05859267
143	9.987020173
144	9.978661544
145	9.97282426
146	9.884170628
147	9.815488849
148	9.808928073
149	9.752125833
150	9.69364725
151	9.688042186
152	9.63760371
153	9.567719198
154	9.50311857
155	9.441538417
156	9.411479377
157	9.348780401
158	9.299671466
159	9.254875867
160	9.243369089
161	9.224741207
162	9.155398665
163	9.113361775
164	9.052276948
165	8.975409107
166	8.897328406
167	8.833157669
168	8.773576757
169	8.715121412
170	8.667078963
171	8.583225979
172	8.543537117
173	8.485750969
174	8.431312017
175	8.411416511
176	8.401955598
177	8.34910208
178	8.285261348
179	8.223209213
180	8.188284425
181	8.152118298
182	8.113684065
183	8.07126938
184	8.031351724
185	7.976244233
186	7.935677932
187	7.895275471
188	7.852261076
189	7.81107398
190	7.765059155
191	7.732029187
192	7.6887276
193	7.674370445
194	7.620654918
195	7.559329678
196	7.513013718
197	7.473867091
198	7.427334073
199	7.389482911
