iter	Passed	Remaining
0	28	5691
1	57	5678
2	76	4997
3	97	4770
4	118	4618
5	138	4472
6	156	4317
7	176	4225
8	198	4217
9	225	4281
10	255	4387
11	275	4309
12	293	4224
13	314	4180
14	335	4140
15	354	4076
16	382	4112
17	403	4082
18	422	4025
19	440	3967
20	469	4002
21	491	3979
22	516	3975
23	535	3924
24	555	3886
25	572	3833
26	599	3841
27	623	3828
28	650	3835
29	671	3805
30	695	3791
31	715	3757
32	737	3733
33	759	3710
34	782	3689
35	804	3662
36	823	3627
37	845	3603
38	865	3574
39	886	3547
40	906	3513
41	929	3498
42	951	3472
43	980	3474
44	1007	3471
45	1036	3468
46	1063	3462
47	1092	3460
48	1116	3441
49	1147	3443
50	1176	3437
51	1200	3417
52	1262	3500
53	1314	3553
54	1343	3542
55	1367	3515
56	1391	3490
57	1410	3453
58	1430	3417
59	1446	3376
60	1465	3338
61	1487	3311
62	1507	3277
63	1527	3246
64	1557	3234
65	1577	3201
66	1595	3166
67	1622	3150
68	1642	3117
69	1661	3085
70	1689	3069
71	1712	3044
72	1755	3054
73	1796	3058
74	1839	3066
75	1860	3034
76	1879	3001
77	1902	2975
78	1920	2941
79	1942	2913
80	1962	2882
81	1984	2856
82	2008	2831
83	2037	2813
84	2073	2805
85	2107	2793
86	2127	2763
87	2152	2739
88	2174	2712
89	2204	2694
90	2240	2683
91	2264	2658
92	2285	2629
93	2308	2603
94	2333	2578
95	2354	2550
96	2398	2547
97	2437	2537
98	2464	2514
99	2483	2483
100	2503	2454
101	2522	2423
102	2544	2396
103	2565	2368
104	2585	2339
105	2604	2310
106	2624	2281
107	2647	2255
108	2666	2226
109	2686	2198
110	2716	2178
111	2749	2160
112	2770	2132
113	2793	2107
114	2813	2079
115	2834	2052
116	2854	2025
117	2873	1996
118	2895	1971
119	2917	1944
120	2935	1916
121	2959	1892
122	2980	1866
123	2999	1838
124	3019	1811
125	3045	1788
126	3066	1762
127	3090	1738
128	3115	1714
129	3152	1697
130	3180	1675
131	3200	1648
132	3224	1624
133	3244	1598
134	3262	1571
135	3281	1544
136	3308	1521
137	3328	1495
138	3348	1469
139	3374	1446
140	3396	1421
141	3420	1397
142	3440	1371
143	3464	1347
144	3490	1323
145	3511	1298
146	3535	1274
147	3556	1249
148	3579	1225
149	3607	1202
150	3627	1177
151	3652	1153
152	3673	1128
153	3693	1103
154	3719	1079
155	3743	1055
156	3765	1031
157	3787	1006
158	3808	982
159	3826	956
160	3847	932
161	3869	907
162	3889	882
163	3909	858
164	3929	833
165	3950	809
166	3971	784
167	3991	760
168	4018	737
169	4051	714
170	4074	690
171	4097	667
172	4117	642
173	4138	618
174	4190	598
175	4223	575
176	4255	552
177	4285	529
178	4336	508
179	4375	486
180	4419	463
181	4473	442
182	4515	419
183	4533	394
184	4552	369
185	4572	344
186	4595	319
187	4611	294
188	4629	269
189	4650	244
190	4669	220
191	4686	195
192	4709	170
193	4730	146
194	4750	121
195	4769	97
196	4794	73
197	4812	48
198	4832	24
199	4859	0
