iter	RMSE
0	61.48956074
1	51.14278709
2	43.53895709
3	36.99339142
4	31.54566949
5	27.43122051
6	23.74096893
7	20.45967625
8	17.89517884
9	15.71338248
10	14.01533978
11	12.57869033
12	11.3577324
13	10.47671521
14	9.566082811
15	8.936133366
16	8.410244734
17	7.868287726
18	7.524653318
19	7.369595662
20	7.0454577
21	6.782355807
22	6.51028623
23	6.425698242
24	6.343308418
25	6.131557255
26	6.045863814
27	5.836281658
28	5.757730835
29	5.688351778
30	5.631637779
31	5.551347791
32	5.516922567
33	5.385063958
34	5.284750685
35	5.158844619
36	5.110010636
37	5.004990509
38	4.885637336
39	4.860671396
40	4.74854456
41	4.668556572
42	4.647516203
43	4.628827091
44	4.607371894
45	4.591987798
46	4.517581101
47	4.43746908
48	4.393718355
49	4.326032098
50	4.300585398
51	4.234023771
52	4.222155176
53	4.212417654
54	4.179655655
55	4.093665472
56	4.030279135
57	3.959595561
58	3.914662149
59	3.870575407
60	3.81681754
61	3.765307091
62	3.729485989
63	3.665928062
64	3.608916287
65	3.56055403
66	3.511461634
67	3.467135124
68	3.420621468
69	3.381587948
70	3.350543521
71	3.323894573
72	3.301453269
73	3.263473492
74	3.237670483
75	3.190298787
76	3.132452649
77	3.095220003
78	3.061460588
79	3.041991856
80	3.000349772
81	2.961829207
82	2.932547951
83	2.924701573
84	2.896491578
85	2.857009445
86	2.821591215
87	2.807321717
88	2.780030352
89	2.761707941
90	2.748928366
91	2.735749551
92	2.69875671
93	2.676822779
94	2.646722919
95	2.612568116
96	2.588031639
97	2.568123861
98	2.548884037
99	2.540822731
100	2.511359794
101	2.48969078
102	2.460635035
103	2.438871591
104	2.412039948
105	2.393258198
106	2.344679937
107	2.324887165
108	2.303445478
109	2.279130648
110	2.257625014
111	2.232274211
112	2.214151919
113	2.204507831
114	2.185171019
115	2.180750562
116	2.164346283
117	2.14553099
118	2.117209579
119	2.098421138
120	2.084104064
121	2.064694029
122	2.051500563
123	2.038732666
124	2.021455457
125	2.002997925
126	1.993808866
127	1.968121985
128	1.950792533
129	1.928995242
130	1.923832009
131	1.897960811
132	1.887426228
133	1.874028488
134	1.861438881
135	1.846142242
136	1.830524553
137	1.819297642
138	1.804270096
139	1.799475282
140	1.782773411
141	1.766764808
142	1.750852174
143	1.743684325
144	1.736822052
145	1.723371211
146	1.711092888
147	1.69892488
148	1.691135397
149	1.686404949
150	1.675673261
151	1.671436769
152	1.657071132
153	1.645696131
154	1.633675852
155	1.62344199
156	1.619806651
157	1.608342843
158	1.592158395
159	1.569727451
160	1.559859252
161	1.550745369
162	1.537728673
163	1.527508801
164	1.521667812
165	1.511836283
166	1.499150269
167	1.491220697
168	1.47756358
169	1.470147262
170	1.463460746
171	1.454347916
172	1.446627531
173	1.437775996
174	1.430264233
175	1.422689467
176	1.414198367
177	1.408749192
178	1.401501599
179	1.390746067
180	1.380690189
181	1.370424756
182	1.363269215
183	1.357148323
184	1.344106488
185	1.337090242
186	1.326577622
187	1.319777917
188	1.312697303
189	1.306647411
190	1.298193836
191	1.292406593
192	1.283518777
193	1.277779486
194	1.271405048
195	1.267943916
196	1.260219685
197	1.24609083
198	1.241438567
199	1.236291979
