iter	Passed	Remaining
0	10	2034
1	15	1531
2	24	1576
3	30	1497
4	49	1930
5	57	1875
6	63	1742
7	70	1688
8	75	1607
9	80	1537
10	88	1522
11	93	1470
12	98	1420
13	106	1411
14	112	1390
15	119	1374
16	124	1343
17	129	1313
18	137	1307
19	141	1277
20	147	1255
21	153	1237
22	158	1216
23	162	1189
24	169	1187
25	175	1171
26	180	1159
27	188	1158
28	194	1146
29	201	1144
30	206	1127
31	211	1112
32	220	1113
33	228	1115
34	237	1119
35	242	1104
36	248	1094
37	254	1083
38	259	1071
39	266	1067
40	271	1053
41	276	1041
42	284	1039
43	289	1026
44	294	1015
45	301	1011
46	307	999
47	313	994
48	319	984
49	324	973
50	332	970
51	338	963
52	347	964
53	353	955
54	359	947
55	367	946
56	372	935
57	381	932
58	386	922
59	391	913
60	398	908
61	404	899
62	409	890
63	415	883
64	421	874
65	430	874
66	437	868
67	443	861
68	449	853
69	455	845
70	462	841
71	468	832
72	475	826
73	481	819
74	487	811
75	495	807
76	500	799
77	505	791
78	513	786
79	518	777
80	527	774
81	534	769
82	547	771
83	553	763
84	568	768
85	582	772
86	598	776
87	612	779
88	632	788
89	650	795
90	682	817
91	699	821
92	718	826
93	733	826
94	748	827
95	765	829
96	783	831
97	798	831
98	813	830
99	827	827
100	843	827
101	859	825
102	865	814
103	881	814
104	897	812
105	914	810
106	929	807
107	939	800
108	945	789
109	959	785
110	976	783
111	989	777
112	996	767
113	1011	763
114	1025	758
115	1039	752
116	1046	742
117	1062	738
118	1076	732
119	1087	725
120	1094	714
121	1105	706
122	1112	696
123	1123	688
124	1131	679
125	1139	669
126	1149	660
127	1157	651
128	1168	643
129	1176	633
130	1225	645
131	1240	639
132	1250	630
133	1255	618
134	1264	608
135	1270	597
136	1276	586
137	1286	577
138	1291	566
139	1301	557
140	1306	546
141	1315	537
142	1321	526
143	1328	516
144	1333	505
145	1338	495
146	1346	485
147	1352	475
148	1357	464
149	1365	455
150	1371	444
151	1378	435
152	1384	425
153	1389	414
154	1396	405
155	1402	395
156	1407	385
157	1416	376
158	1422	366
159	1433	358
160	1443	349
161	1449	340
162	1455	330
163	1462	321
164	1467	311
165	1474	302
166	1480	292
167	1485	282
168	1493	273
169	1498	264
170	1503	254
171	1511	246
172	1517	236
173	1522	227
174	1529	218
175	1535	209
176	1544	200
177	1549	191
178	1558	182
179	1565	173
180	1574	165
181	1580	156
182	1589	147
183	1609	139
184	1623	131
185	1650	124
186	1662	115
187	1668	106
188	1682	97
189	1710	90
190	1720	81
191	1730	72
192	1746	63
193	1756	54
194	1765	45
195	1777	36
196	1789	27
197	1796	18
198	1807	9
199	1820	0
