iter	RMSE
0	146.4642185
1	126.7513811
2	111.9557539
3	96.93628337
4	84.51779167
5	74.20876483
6	67.84571166
7	60.32083975
8	55.56264214
9	49.81569528
10	47.62908999
11	43.9544551
12	40.35268124
13	38.22941042
14	36.07854315
15	34.83388478
16	33.30331484
17	31.73272036
18	29.86944052
19	28.62375386
20	27.49342081
21	26.55674293
22	25.33471713
23	23.33086256
24	22.59943937
25	22.05271888
26	20.79271156
27	20.27629064
28	19.49591969
29	19.02352248
30	17.66216727
31	17.20575464
32	16.77841409
33	16.11048844
34	15.74432635
35	15.42300917
36	14.29655784
37	13.38160873
38	13.07941933
39	12.81764387
40	12.491091
41	12.25746715
42	12.03373765
43	11.29709709
44	11.08391972
45	10.89694968
46	10.2518579
47	10.0929764
48	9.940532339
49	9.813740856
50	9.333436506
51	9.215991628
52	8.839989903
53	8.73996575
54	8.380815858
55	8.295888442
56	8.220041489
57	7.919888159
58	7.852333497
59	7.695074743
60	7.639063332
61	7.531760224
62	7.48513551
63	7.247211263
64	7.154119766
65	7.024634011
66	6.992785424
67	6.897223431
68	6.871584827
69	6.706258853
70	6.682853904
71	6.661324475
72	6.560334202
73	6.413279494
74	6.337151133
75	6.321512067
76	6.187456974
77	6.101273824
78	6.00351298
79	5.90693723
80	5.885691213
81	5.857249807
82	5.730857477
83	5.719045671
84	5.668090662
85	5.591712705
86	5.495227219
87	5.438757548
88	5.358354235
89	5.268471053
90	5.19090281
91	5.105479756
92	5.046416483
93	4.991588272
94	4.89800243
95	4.868887302
96	4.782063954
97	4.715901456
98	4.64353474
99	4.542498392
100	4.45363307
101	4.412724779
102	4.343699363
103	4.292016104
104	4.226620134
105	4.161104966
106	4.098835137
107	4.027079289
108	3.964168999
109	3.900444733
110	3.845685472
111	3.8084834
112	3.77806121
113	3.732239657
114	3.687919419
115	3.648435914
116	3.612785206
117	3.573037166
118	3.528254931
119	3.497875073
120	3.441225839
121	3.402468412
122	3.355880296
123	3.314385923
124	3.268624738
125	3.23386895
126	3.198255372
127	3.164655421
128	3.122922368
129	3.073703649
130	3.041679413
131	3.001907738
132	2.966030335
133	2.931099533
134	2.900547732
135	2.860392593
136	2.843953314
137	2.811820591
138	2.784161073
139	2.748528746
140	2.707649085
141	2.682539796
142	2.647214869
143	2.628453952
144	2.598595004
145	2.566343363
146	2.535723966
147	2.512774268
148	2.484164945
149	2.463091741
150	2.435283683
151	2.411395273
152	2.388186088
153	2.352884048
154	2.341711268
155	2.327333779
156	2.29734524
157	2.278485262
158	2.261592576
159	2.235980537
160	2.217617152
161	2.203389294
162	2.191355567
163	2.169164489
164	2.151677335
165	2.11942392
166	2.096740774
167	2.084301758
168	2.072080008
169	2.051038944
170	2.034719873
171	2.011568847
172	1.992058118
173	1.988002008
174	1.979059604
175	1.975998679
176	1.95281878
177	1.935336732
178	1.922220582
179	1.919161079
180	1.898370949
181	1.878761416
182	1.860568508
183	1.846397044
184	1.833328618
185	1.821274268
186	1.803968586
187	1.784842972
188	1.772663836
189	1.758031919
190	1.740979535
191	1.724547205
192	1.722778026
193	1.712365827
194	1.696165583
195	1.681713028
196	1.671715212
197	1.655801389
198	1.642320276
199	1.633384448
