iter	Passed	Remaining
0	17	3475
1	37	3684
2	54	3606
3	72	3551
4	90	3547
5	106	3455
6	135	3742
7	155	3726
8	171	3630
9	187	3555
10	206	3540
11	223	3507
12	246	3540
13	262	3493
14	283	3502
15	303	3491
16	329	3547
17	345	3488
18	365	3477
19	381	3434
20	398	3398
21	431	3491
22	449	3460
23	467	3429
24	484	3389
25	489	3277
26	504	3235
27	514	3161
28	533	3147
29	549	3115
30	565	3082
31	581	3055
32	598	3026
33	612	2990
34	629	2968
35	634	2892
36	664	2929
37	690	2945
38	708	2924
39	727	2910
40	743	2884
41	762	2869
42	781	2853
43	799	2834
44	817	2814
45	833	2791
46	850	2769
47	867	2746
48	882	2719
49	897	2692
50	922	2696
51	938	2669
52	953	2643
53	983	2658
54	1005	2651
55	1022	2630
56	1036	2601
57	1050	2572
58	1074	2568
59	1091	2547
60	1107	2523
61	1123	2501
62	1137	2473
63	1158	2460
64	1173	2438
65	1190	2416
66	1212	2406
67	1229	2386
68	1240	2355
69	1259	2339
70	1288	2340
71	1309	2327
72	1324	2304
73	1342	2286
74	1371	2285
75	1386	2262
76	1403	2242
77	1421	2223
78	1438	2203
79	1456	2185
80	1475	2167
81	1491	2147
82	1507	2125
83	1526	2108
84	1551	2099
85	1569	2080
86	1585	2059
87	1602	2039
88	1618	2018
89	1637	2000
90	1653	1980
91	1674	1965
92	1691	1946
93	1705	1923
94	1726	1908
95	1747	1892
96	1762	1871
97	1778	1851
98	1798	1835
99	1816	1816
100	1831	1794
101	1845	1773
102	1866	1757
103	1883	1738
104	1899	1718
105	1916	1699
106	1930	1677
107	1949	1660
108	1964	1640
109	1979	1619
110	2000	1603
111	2017	1585
112	2035	1567
113	2051	1547
114	2069	1529
115	2091	1514
116	2110	1497
117	2130	1480
118	2147	1461
119	2170	1447
120	2191	1430
121	2214	1415
122	2243	1404
123	2259	1384
124	2281	1368
125	2300	1351
126	2317	1332
127	2334	1313
128	2356	1296
129	2384	1283
130	2432	1281
131	2448	1261
132	2465	1241
133	2494	1228
134	2518	1212
135	2562	1205
136	2579	1186
137	2628	1180
138	2650	1163
139	2677	1147
140	2700	1130
141	2720	1111
142	2754	1097
143	2772	1078
144	2791	1058
145	2809	1039
146	2832	1021
147	2852	1002
148	2874	983
149	2892	964
150	2914	945
151	2933	926
152	2950	906
153	2969	887
154	2991	868
155	3013	850
156	3030	829
157	3050	810
158	3070	791
159	3088	772
160	3107	752
161	3131	734
162	3147	714
163	3163	694
164	3185	675
165	3205	656
166	3223	637
167	3240	617
168	3263	598
169	3282	579
170	3300	559
171	3318	540
172	3338	520
173	3359	502
174	3373	481
175	3395	462
176	3415	443
177	3433	424
178	3449	404
179	3466	385
180	3490	366
181	3509	347
182	3527	327
183	3542	308
184	3558	288
185	3571	268
186	3593	249
187	3609	230
188	3658	212
189	3675	193
190	3731	175
191	3775	157
192	3797	137
193	3816	118
194	3834	98
195	3849	78
196	3866	58
197	3884	39
198	3904	19
199	3924	0
