iter	RMSE
0	171.072281
1	151.0358336
2	134.5045791
3	120.2291646
4	108.4673466
5	97.55052598
6	87.52073026
7	78.38493272
8	71.269198
9	64.77040129
10	59.37186353
11	54.21665696
12	49.69044459
13	45.84011446
14	42.35900909
15	39.42508068
16	37.50274116
17	35.76868967
18	34.49027129
19	33.36008708
20	31.11759119
21	29.15924494
22	28.49159348
23	27.36132306
24	26.11574102
25	25.42062675
26	24.42826238
27	23.84614451
28	23.45878552
29	22.86405907
30	21.93910264
31	21.61545373
32	20.92308751
33	20.64770382
34	19.84863963
35	19.32934843
36	19.134587
37	18.90548515
38	18.73752072
39	18.32207443
40	17.77517839
41	17.61044772
42	17.11412168
43	16.77321297
44	16.40414378
45	16.09637
46	16.00601678
47	15.80373783
48	15.72792159
49	15.50991019
50	15.41068943
51	15.0057639
52	14.95583927
53	14.76790081
54	14.45823167
55	14.25215615
56	14.22248819
57	14.05849343
58	13.72552836
59	13.68587846
60	13.66407368
61	13.46009686
62	13.13004703
63	12.88088974
64	12.63775183
65	12.43905546
66	12.24423014
67	11.96107612
68	11.68332279
69	11.5596481
70	11.47717978
71	11.26938132
72	11.11684848
73	10.92590164
74	10.7825647
75	10.67158419
76	10.47645901
77	10.32321748
78	10.16449987
79	10.01826802
80	9.887871345
81	9.767439023
82	9.663325119
83	9.52096544
84	9.386534165
85	9.249959416
86	9.154886748
87	9.043055127
88	8.932060872
89	8.85279494
90	8.737212703
91	8.582969942
92	8.466081395
93	8.349961902
94	8.26607574
95	8.152491907
96	8.044164573
97	7.951042875
98	7.856862717
99	7.73944557
100	7.653278008
101	7.592197478
102	7.507733774
103	7.442844369
104	7.362309042
105	7.28593689
106	7.221483233
107	7.146215876
108	7.059189091
109	6.981738225
110	6.918813643
111	6.852861631
112	6.785551171
113	6.727073465
114	6.655659262
115	6.612872602
116	6.554707213
117	6.510293217
118	6.454592388
119	6.366385824
120	6.314539738
121	6.250480092
122	6.177060111
123	6.137737697
124	6.08655317
125	6.009012113
126	5.939201792
127	5.880484616
128	5.838256634
129	5.787687392
130	5.742396282
131	5.701298367
132	5.644876367
133	5.571976087
134	5.568450213
135	5.521049149
136	5.477889795
137	5.420806614
138	5.385625073
139	5.332227495
140	5.294628303
141	5.240536289
142	5.202508239
143	5.166195025
144	5.119281384
145	5.070105711
146	5.040016768
147	4.995964937
148	4.958330811
149	4.912698696
150	4.894273976
151	4.858042154
152	4.824219683
153	4.795463984
154	4.748673117
155	4.705632432
156	4.677099158
157	4.636348947
158	4.591949022
159	4.561648445
160	4.535079607
161	4.498896512
162	4.456672399
163	4.439419881
164	4.413745744
165	4.389257555
166	4.367681584
167	4.337235565
168	4.312773905
169	4.275079471
170	4.233410229
171	4.202493001
172	4.179533959
173	4.160602214
174	4.130486377
175	4.113448585
176	4.100212583
177	4.082794685
178	4.054385981
179	4.032574046
180	4.004150173
181	3.979076568
182	3.950282098
183	3.926820295
184	3.901457402
185	3.868915627
186	3.842318596
187	3.823181076
188	3.786977769
189	3.765536729
190	3.740657517
191	3.7235204
192	3.71122265
193	3.680430609
194	3.662883324
195	3.64178625
196	3.615767524
197	3.589208483
198	3.563572613
199	3.542129329
