iter	Passed	Remaining
0	11	2207
1	17	1758
2	26	1732
3	32	1616
4	41	1610
5	47	1551
6	57	1588
7	64	1558
8	73	1555
9	78	1498
10	88	1525
11	100	1581
12	117	1689
13	127	1692
14	140	1731
15	157	1815
16	173	1862
17	185	1879
18	191	1825
19	203	1833
20	214	1826
21	220	1780
22	225	1739
23	232	1704
24	238	1666
25	245	1643
26	250	1607
27	256	1574
28	263	1556
29	269	1526
30	276	1506
31	282	1481
32	287	1455
33	294	1439
34	300	1415
35	305	1392
36	313	1379
37	318	1357
38	324	1341
39	330	1323
40	336	1304
41	343	1293
42	349	1275
43	354	1258
44	361	1246
45	367	1230
46	374	1219
47	380	1204
48	385	1188
49	393	1179
50	398	1163
51	404	1152
52	411	1140
53	417	1128
54	425	1122
55	431	1109
56	438	1100
57	443	1087
58	449	1074
59	457	1066
60	462	1054
61	470	1046
62	475	1034
63	480	1021
64	490	1018
65	495	1006
66	503	999
67	509	988
68	515	978
69	522	970
70	528	961
71	537	955
72	543	945
73	552	939
74	558	931
75	568	927
76	575	919
77	584	914
78	590	903
79	595	893
80	603	886
81	609	876
82	616	868
83	622	859
84	628	849
85	636	843
86	641	833
87	649	826
88	654	816
89	660	807
90	669	801
91	676	794
92	686	789
93	692	780
94	700	774
95	706	764
96	712	756
97	719	748
98	724	739
99	733	733
100	738	723
101	746	717
102	751	708
103	757	699
104	765	692
105	771	683
106	780	678
107	785	669
108	793	662
109	799	653
110	805	645
111	813	638
112	818	630
113	825	622
114	832	615
115	837	606
116	845	599
117	851	591
118	857	584
119	863	575
120	869	567
121	877	561
122	883	553
123	891	546
124	896	538
125	902	529
126	909	522
127	915	515
128	922	507
129	928	500
130	935	492
131	944	486
132	951	479
133	960	473
134	967	465
135	977	459
136	984	452
137	992	446
138	1002	439
139	1009	432
140	1019	426
141	1028	420
142	1037	413
143	1045	406
144	1076	408
145	1127	417
146	1172	422
147	1192	419
148	1222	418
149	1366	455
150	1428	463
151	1483	468
152	1516	465
153	1555	464
154	1597	463
155	1619	456
156	1645	450
157	1685	447
158	1714	442
159	1731	432
160	1744	422
161	1762	413
162	1777	403
163	1791	393
164	1800	381
165	1810	370
166	1821	359
167	1831	348
168	1844	338
169	1857	327
170	1872	317
171	1885	306
172	1896	295
173	1910	285
174	1922	274
175	1936	264
176	1945	252
177	1959	242
178	1972	231
179	1984	220
180	1994	209
181	2008	198
182	2023	187
183	2037	177
184	2058	166
185	2075	156
186	2087	145
187	2093	133
188	2134	124
189	2150	113
190	2166	102
191	2184	91
192	2195	79
193	2207	68
194	2220	56
195	2234	45
196	2245	34
197	2258	22
198	2272	11
199	2287	0
